"","event","year","rasterID","S","biomass","yrcat"
"1",1989001,1989,1924,22,49.628,"a"
"2",1989003,1989,1875,22,13.519,"a"
"3",1989015,1989,1876,20,78.026,"a"
"4",1989017,1989,1586,23,140.45,"a"
"5",1989019,1989,1586,22,477.884,"a"
"6",1989021,1989,1536,23,240.941,"a"
"7",1989023,1989,1486,30,973.962,"a"
"8",1989029,1989,1344,25,426.221,"a"
"9",1989031,1989,1295,21,57.533,"a"
"10",1989035,1989,1198,21,94.544,"a"
"11",1989037,1989,1342,23,96.159,"a"
"12",1989039,1989,1393,21,182.877,"a"
"13",1989045,1989,1730,33,114.417,"a"
"14",1989049,1989,1730,27,10.081,"a"
"15",1989051,1989,1779,24,25.626,"a"
"16",1989053,1989,1778,20,58.405,"a"
"17",1989059,1989,1777,33,104.045,"a"
"18",1989063,1989,2771,29,45.715,"a"
"19",1989065,1989,2771,31,135.123,"a"
"20",1989069,1989,2671,26,34.215,"a"
"21",1989073,1989,2620,32,105.478,"a"
"22",1989077,1989,2269,29,14.747,"a"
"23",1989079,1989,2269,24,24.924,"a"
"24",1989081,1989,2219,21,9.307,"a"
"25",1989085,1989,2169,14,3.902,"a"
"26",1989089,1989,1586,30,242.223,"a"
"27",1989091,1989,1586,22,28.097,"a"
"28",1989099,1989,1340,34,59.305,"a"
"29",1989107,1989,1534,43,616.176,"a"
"30",1989113,1989,1533,36,161.649,"a"
"31",1989115,1989,1582,33,368.007,"a"
"32",1989117,1989,1582,39,147.992,"a"
"33",1989125,1989,2022,36,38.72,"a"
"34",1989129,1989,2021,28,19.654,"a"
"35",1989139,1989,2419,38,127.404,"a"
"36",1989149,1989,2318,31,109.027,"a"
"37",1989151,1989,2318,27,64.161,"a"
"38",1989155,1989,1923,30,29.634,"a"
"39",1989157,1989,1923,28,29.862,"a"
"40",1989161,1989,1630,21,97.735,"a"
"41",1989163,1989,1680,39,163.381,"a"
"42",1989165,1989,1680,42,157.899,"a"
"43",1989167,1989,1680,34,84.764,"a"
"44",1989177,1989,1680,32,44.664,"a"
"45",1989179,1989,1680,47,94.052,"a"
"46",1989181,1989,1680,38,218.774,"a"
"47",1989183,1989,1730,43,191.156,"a"
"48",1989197,1989,2170,26,48.226,"a"
"49",1989199,1989,2120,17,74.037,"a"
"50",1989201,1989,2120,22,36.913,"a"
"51",1989203,1989,1777,36,81.16,"a"
"52",1989205,1989,2120,21,20.157,"a"
"53",1989213,1989,1582,31,28.402,"a"
"54",1989215,1989,1582,18,8.938,"a"
"55",1989217,1989,1533,21,36.53,"a"
"56",1989219,1989,1534,37,128.111,"a"
"57",1989221,1989,1586,19,11.375,"a"
"58",1989223,1989,1586,16,6.448,"a"
"59",1989225,1989,1586,9,6.435,"a"
"60",1989227,1989,1586,9,8.684,"a"
"61",1989229,1989,1246,28,66.368,"a"
"62",1989231,1989,1295,27,101.209,"a"
"63",1989233,1989,1344,19,5.858,"a"
"64",1989235,1989,1393,5,0.499,"a"
"65",1989237,1989,1342,29,63.352,"a"
"66",1989239,1989,1340,34,43.918,"a"
"67",1989241,1989,1486,32,140.407,"a"
"68",1989243,1989,1536,31,77.851,"a"
"69",1989245,1989,1630,31,55.263,"a"
"70",1989247,1989,1680,36,81.737,"a"
"71",1989249,1989,1680,25,89.165,"a"
"72",1989251,1989,1680,16,18.393,"a"
"73",1989253,1989,1680,19,10.552,"a"
"74",1989255,1989,1680,32,12.136,"a"
"75",1989257,1989,1680,27,49.332,"a"
"76",1989259,1989,1730,28,58.517,"a"
"77",1989261,1989,1730,11,4.146,"a"
"78",1989263,1989,1730,13,10.496,"a"
"79",1989265,1989,1779,18,7.356,"a"
"80",1989267,1989,1778,17,6.132,"a"
"81",1989269,1989,1777,23,53.496,"a"
"82",1989271,1989,1777,27,44.447,"a"
"83",1989273,1989,1876,25,10.626,"a"
"84",1989275,1989,1924,16,6.262,"a"
"85",1989277,1989,1924,14,26.323,"a"
"86",1989281,1989,1923,15,10.638,"a"
"87",1989283,1989,1923,13,3.576,"a"
"88",1989285,1989,2219,11,8.883,"a"
"89",1989287,1989,2269,13,5.331,"a"
"90",1989289,1989,2269,18,29.612,"a"
"91",1989291,1989,2319,11,20.353,"a"
"92",1989293,1989,2318,14,6.641,"a"
"93",1989295,1989,2419,31,87.962,"a"
"94",1989297,1989,2771,30,175.705,"a"
"95",1989299,1989,2771,22,712.984,"a"
"96",1989301,1989,2671,20,12.115,"a"
"97",1989303,1989,2620,29,130.487,"a"
"98",1989305,1989,2170,8,5.371,"a"
"99",1989307,1989,2170,7,1.263,"a"
"100",1989309,1989,2120,12,7.058,"a"
"101",1989311,1989,2120,18,20.427,"a"
"102",1989313,1989,2120,17,10.298,"a"
"103",1989315,1989,2021,19,23.217,"a"
"104",1989317,1989,2022,23,25.926,"a"
"105",1989323,1989,1586,10,11.477,"a"
"106",1989325,1989,1586,12,73.263,"a"
"107",1989327,1989,1536,23,23.963,"a"
"108",1989329,1989,1486,30,81.111,"a"
"109",1989335,1989,1246,19,115.759,"a"
"110",1989337,1989,1295,45,218.414,"a"
"111",1989339,1989,1294,42,393.434,"a"
"112",1989343,1989,1393,13,93.587,"a"
"113",1989347,1989,1342,25,31.785,"a"
"114",1989353,1989,1340,44,159.533,"a"
"115",1989371,1989,1586,24,104.798,"a"
"116",1989375,1989,1534,32,51.921,"a"
"117",1989379,1989,1778,23,12.927,"a"
"118",1989381,1989,1779,25,36.942,"a"
"119",1989383,1989,1730,9,15.548,"a"
"120",1989385,1989,1730,24,14.608,"a"
"121",1989387,1989,1534,30,63.862,"a"
"122",1989393,1989,1533,23,10.59,"a"
"123",1989395,1989,1582,33,28.931,"a"
"124",1989397,1989,1582,38,27.287,"a"
"125",1989399,1989,1730,34,14.48,"a"
"126",1989401,1989,1680,27,20.454,"a"
"127",1989403,1989,1680,29,108.54,"a"
"128",1989405,1989,1680,34,30.258,"a"
"129",1989407,1989,1680,36,17.722,"a"
"130",1989409,1989,1680,37,45.317,"a"
"131",1989411,1989,1680,39,31.003,"a"
"132",1989413,1989,1680,23,171.096,"a"
"133",1989423,1989,1777,23,15.856,"a"
"134",1989425,1989,1777,23,36.61,"a"
"135",1989427,1989,1876,26,14.568,"a"
"136",1989437,1989,1875,23,29.507,"a"
"137",1989445,1989,2419,33,37.505,"a"
"138",1989455,1989,2771,41,96.33,"a"
"139",1989459,1989,2771,20,34.081,"a"
"140",1989461,1989,2671,37,287.619,"a"
"141",1989465,1989,2570,37,157.106,"a"
"142",1989469,1989,2318,20,11.686,"a"
"143",1989471,1989,2319,25,16.583,"a"
"144",1989473,1989,2269,26,62.085,"a"
"145",1989475,1989,2269,28,75.163,"a"
"146",1989485,1989,2219,18,44.321,"a"
"147",1989493,1989,2169,31,59.236,"a"
"148",1989495,1989,2170,19,20.136,"a"
"149",1989497,1989,2120,19,17.544,"a"
"150",1989499,1989,2120,16,7.332,"a"
"151",1989501,1989,2120,24,36.595,"a"
"152",1989511,1989,2021,39,37.174,"a"
"153",1989515,1989,2022,25,135.862,"a"
"154",1989521,1989,1923,22,17.65,"a"
"155",1989523,1989,1923,26,7.691,"a"
"156",1989525,1989,1924,19,3.92,"a"
"157",1989529,1989,1924,19,35.679,"a"
"158",1990001,1990,1777,20,32.602,"a"
"159",1990003,1990,1777,26,38.813,"a"
"160",1990005,1990,1778,11,20.399,"a"
"161",1990007,1990,1778,12,57.917,"a"
"162",1990009,1990,1779,19,18.233,"a"
"163",1990011,1990,1779,27,32.525,"a"
"164",1990013,1990,1586,15,37.898,"a"
"165",1990015,1990,1534,29,202.625,"a"
"166",1990017,1990,1534,16,48.993,"a"
"167",1990019,1990,1534,28,893.239,"a"
"168",1990021,1990,1533,26,542.042,"a"
"169",1990023,1990,1532,30,234.043,"a"
"170",1990025,1990,1582,14,177.858,"a"
"171",1990027,1990,1582,12,138.952,"a"
"172",1990029,1990,1581,13,219.688,"a"
"173",1990031,1990,1630,14,60.844,"a"
"174",1990033,1990,1680,15,72.018,"a"
"175",1990035,1990,1680,12,32.645,"a"
"176",1990037,1990,1680,13,8.062,"a"
"177",1990039,1990,1680,14,10.099,"a"
"178",1990041,1990,1680,15,17.968,"a"
"179",1990043,1990,1680,13,4.803,"a"
"180",1990045,1990,1680,19,58.966,"a"
"181",1990047,1990,1730,11,43.397,"a"
"182",1990049,1990,1730,7,1.475,"a"
"183",1990051,1990,1730,11,1.064,"a"
"184",1990053,1990,1730,5,0.282,"a"
"185",1990055,1990,1586,7,95.18,"a"
"186",1990057,1990,1586,9,36.598,"a"
"187",1990059,1990,1586,23,87.925,"a"
"188",1990061,1990,1536,14,60.085,"a"
"189",1990063,1990,1536,17,187.91,"a"
"190",1990065,1990,1486,19,38.43,"a"
"191",1990067,1990,1246,33,541.423,"a"
"192",1990069,1990,1246,28,35.264,"a"
"193",1990071,1990,1295,29,330.321,"a"
"194",1990073,1990,1294,31,273.606,"a"
"195",1990075,1990,1393,14,8.332,"a"
"196",1990077,1990,1342,18,1051.03,"a"
"197",1990079,1990,1340,15,33.414,"a"
"198",1990081,1990,1389,20,59.341,"a"
"199",1990083,1990,1924,27,51.052,"a"
"200",1990085,1990,1923,23,118.852,"a"
"201",1990087,1990,1923,22,67.902,"a"
"202",1990089,1990,1973,26,12.848,"a"
"203",1990091,1990,1972,25,18.459,"a"
"204",1990093,1990,2022,12,33.528,"a"
"205",1990097,1990,2021,30,149.422,"a"
"206",1990109,1990,1875,33,101.14,"a"
"207",1990111,1990,2170,5,8.082,"a"
"208",1990113,1990,2169,19,25.081,"a"
"209",1990115,1990,2169,17,26.865,"a"
"210",1990125,1990,2219,17,29.145,"a"
"211",1990133,1990,2670,34,112.53,"a"
"212",1990139,1990,2671,30,355.078,"a"
"213",1990141,1990,2721,33,88.104,"a"
"214",1990143,1990,2771,32,1171.843,"a"
"215",1990145,1990,2772,32,226.085,"a"
"216",1990147,1990,2771,27,35.276,"a"
"217",1990149,1990,2620,19,89.048,"a"
"218",1990153,1990,2569,18,150.204,"a"
"219",1990157,1990,2519,34,275.736,"a"
"220",1990165,1990,2419,38,555.398,"a"
"221",1990171,1990,2318,28,152.372,"a"
"222",1990173,1990,2319,20,45.116,"a"
"223",1990175,1990,2318,30,262.791,"a"
"224",1990177,1990,2269,9,42.623,"a"
"225",1990179,1990,2269,14,18.689,"a"
"226",1990181,1990,2269,12,14.716,"a"
"227",1990183,1990,2120,7,3.388,"a"
"228",1990185,1990,2120,9,19.436,"a"
"229",1990187,1990,2120,7,8.572,"a"
"230",1990189,1990,2120,22,124.619,"a"
"231",1990199,1990,1924,20,934.848,"a"
"232",1990203,1990,1875,12,2276.286,"a"
"233",1990207,1990,1876,31,94.442,"a"
"234",1990209,1990,1826,31,60.543,"a"
"235",1990211,1990,2169,29,22.692,"a"
"236",1990213,1990,2169,24,21.146,"a"
"237",1990215,1990,2170,20,50.54,"a"
"238",1990217,1990,2120,14,42.947,"a"
"239",1990219,1990,2120,20,26.244,"a"
"240",1990221,1990,2120,32,41.489,"a"
"241",1990223,1990,2120,23,44.221,"a"
"242",1990225,1990,2021,23,36.618,"a"
"243",1990227,1990,2022,28,36.141,"a"
"244",1990229,1990,1972,29,379.19,"a"
"245",1990231,1990,1973,15,8.825,"a"
"246",1990233,1990,1923,30,21.627,"a"
"247",1990235,1990,1923,30,22.827,"a"
"248",1990237,1990,1924,12,2.984,"a"
"249",1990241,1990,1924,20,101.515,"a"
"250",1990243,1990,1875,27,87.689,"a"
"251",1990245,1990,1875,24,20.58,"a"
"252",1990247,1990,1876,23,20.693,"a"
"253",1990249,1990,1826,32,18.617,"a"
"254",1990251,1990,1777,31,187.576,"a"
"255",1990253,1990,1777,30,53.921,"a"
"256",1990255,1990,1778,30,199.32,"a"
"257",1990257,1990,1778,22,13.983,"a"
"258",1990259,1990,1779,16,59.049,"a"
"259",1990261,1990,1779,35,105.302,"a"
"260",1990263,1990,1730,17,12.744,"a"
"261",1990265,1990,1730,12,8.92,"a"
"262",1990267,1990,1730,12,14.251,"a"
"263",1990269,1990,1730,25,26.219,"a"
"264",1990271,1990,1680,22,221.968,"a"
"265",1990273,1990,1680,15,18.639,"a"
"266",1990275,1990,1680,18,20.249,"a"
"267",1990277,1990,1680,19,22.497,"a"
"268",1990279,1990,1680,28,27.214,"a"
"269",1990281,1990,1680,37,164.442,"a"
"270",1990283,1990,1680,34,24.411,"a"
"271",1990285,1990,1630,28,13.757,"a"
"272",1990287,1990,1631,26,56.564,"a"
"273",1990289,1990,1582,23,3.453,"a"
"274",1990291,1990,1582,20,9.018,"a"
"275",1990293,1990,1532,17,56.235,"a"
"276",1990295,1990,1533,26,36.084,"a"
"277",1990297,1990,1534,23,12.197,"a"
"278",1990299,1990,1534,24,17.803,"a"
"279",1990301,1990,1534,35,14.903,"a"
"280",1990303,1990,1586,25,30.138,"a"
"281",1990305,1990,1586,14,11.952,"a"
"282",1990307,1990,1586,12,11.269,"a"
"283",1990309,1990,1586,30,122.809,"a"
"284",1990311,1990,1536,32,80.723,"a"
"285",1990313,1990,1486,33,129.532,"a"
"286",1990315,1990,1486,31,140.462,"a"
"287",1990317,1990,1246,30,73.837,"a"
"288",1990319,1990,1246,32,113.497,"a"
"289",1990321,1990,1295,35,105.308,"a"
"290",1990323,1990,1294,44,100.042,"a"
"291",1990325,1990,1393,24,36.129,"a"
"292",1990327,1990,1342,30,24.398,"a"
"293",1990329,1990,1340,37,178.948,"a"
"294",1990331,1990,1388,36,348.032,"a"
"295",1990333,1990,2219,16,31.256,"a"
"296",1990335,1990,2269,9,35.474,"a"
"297",1990337,1990,2269,11,13.241,"a"
"298",1990339,1990,2269,12,8.349,"a"
"299",1990341,1990,2319,19,15.024,"a"
"300",1990343,1990,2318,23,58.391,"a"
"301",1990345,1990,2318,26,25.588,"a"
"302",1990347,1990,2419,37,70.384,"a"
"303",1990349,1990,2772,35,311.693,"a"
"304",1990351,1990,2771,31,95.11,"a"
"305",1990353,1990,2771,28,31.34,"a"
"306",1990355,1990,2721,17,27.831,"a"
"307",1990357,1990,2671,30,13.469,"a"
"308",1990359,1990,2670,26,80.823,"a"
"309",1990361,1990,2620,29,182.295,"a"
"310",1990363,1990,2569,21,9.695,"a"
"311",1990365,1990,2519,35,158.993,"a"
"312",1990371,1990,1586,10,9.769,"a"
"313",1990373,1990,1586,13,9.205,"a"
"314",1990375,1990,1586,16,10.442,"a"
"315",1990377,1990,1536,36,75.469,"a"
"316",1990379,1990,1486,51,154.228,"a"
"317",1990381,1990,1777,33,39.455,"a"
"318",1990383,1990,1777,30,16.96,"a"
"319",1990385,1990,1778,33,163.782,"a"
"320",1990387,1990,1778,25,8.753,"a"
"321",1990389,1990,1779,24,19.838,"a"
"322",1990393,1990,1487,42,52.848,"a"
"323",1990401,1990,1388,36,78.116,"a"
"324",1990405,1990,1246,36,89.123,"a"
"325",1990407,1990,1246,43,179.016,"a"
"326",1990411,1990,1295,44,279.208,"a"
"327",1990413,1990,1344,37,30.777,"a"
"328",1990419,1990,1342,42,60.077,"a"
"329",1990429,1990,1779,23,26.854,"a"
"330",1990431,1990,1730,15,5.704,"a"
"331",1990433,1990,1730,4,6.652,"a"
"332",1990435,1990,1730,33,34.917,"a"
"333",1990437,1990,1730,26,10.236,"a"
"334",1990439,1990,1680,33,9.707,"a"
"335",1990441,1990,1680,36,41.252,"a"
"336",1990443,1990,1680,33,25.272,"a"
"337",1990445,1990,1586,20,13.386,"a"
"338",1990449,1990,1535,38,58.928,"a"
"339",1990451,1990,1534,35,41.168,"a"
"340",1990453,1990,1534,36,65.569,"a"
"341",1990457,1990,1826,26,18.723,"a"
"342",1990459,1990,1876,29,12.136,"a"
"343",1990461,1990,1875,30,11.401,"a"
"344",1990463,1990,1875,29,11.136,"a"
"345",1990465,1990,1874,25,14.456,"a"
"346",1990471,1990,1923,32,16.367,"a"
"347",1990473,1990,2219,31,21.734,"a"
"348",1990475,1990,2269,27,16.774,"a"
"349",1990477,1990,2269,26,12,"a"
"350",1990479,1990,2269,31,29.578,"a"
"351",1990481,1990,2318,27,52.943,"a"
"352",1990483,1990,2318,26,15.653,"a"
"353",1990485,1990,2318,27,30.528,"a"
"354",1990487,1990,2771,17,81.759,"a"
"355",1990489,1990,2721,26,91.639,"a"
"356",1990491,1990,2671,5,0.787,"a"
"357",1990493,1990,2670,13,54.817,"a"
"358",1990495,1990,2620,13,23.671,"a"
