"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36"
1,2,16,29,28,3,15,18,17,13,14,4,27,7,9,12,20,6,11,19,8,5,10,22,26,25,21,23,24,30,31,32,33,34,35,36
2,29,1,16,3,15,28,18,4,7,9,13,14,17,6,12,27,11,8,20,5,10,19,22,26,25,21,23,24,30,31,32,33,34,35,36
3,2,18,16,27,4,7,1,9,17,28,6,15,20,5,8,13,14,29,12,11,19,10,22,26,25,21,23,24,30,31,32,33,34,35,36
4,18,7,6,9,5,16,8,17,20,26,3,15,10,11,12,13,27,14,25,22,19,21,23,24,28,2,29,1,30,31,32,33,34,35,36
5,8,6,10,9,11,7,4,21,12,19,13,17,14,15,22,23,16,20,18,24,25,3,26,27,2,28,29,1,30,31,32,33,34,35,36
6,22,5,7,8,9,17,4,20,19,24,10,23,11,18,25,12,21,16,13,15,14,26,3,27,2,28,29,1,30,31,32,33,34,35,36
7,9,4,6,16,18,8,5,15,11,10,12,13,14,17,26,20,27,3,25,22,19,21,23,24,28,2,29,1,30,31,32,33,34,35,36
8,5,10,6,11,9,7,12,21,19,4,13,14,17,15,16,18,20,22,23,24,25,26,3,27,2,28,29,1,30,31,32,33,34,35,36
9,7,16,6,4,15,8,5,26,18,11,13,12,14,10,17,20,25,27,22,3,19,24,23,21,28,2,29,1,30,31,32,33,34,35,36
10,11,8,12,5,13,14,6,9,15,7,16,17,19,18,4,21,20,22,23,24,25,3,26,27,2,28,29,1,30,31,32,33,34,35,36
11,10,12,13,14,8,15,5,9,16,6,17,7,18,19,20,4,21,22,23,24,25,3,26,27,2,28,29,1,30,31,32,33,34,35,36
12,13,14,11,15,10,16,8,9,17,18,5,6,7,19,20,21,4,22,23,24,25,3,26,2,27,1,28,29,30,31,32,33,34,35,36
13,14,12,15,11,16,10,18,17,9,8,20,19,7,6,5,22,21,4,23,3,25,24,2,26,1,27,29,28,30,31,32,33,34,35,36
14,13,12,15,11,16,10,18,17,9,8,20,19,7,6,5,22,21,4,23,3,25,24,2,26,1,27,29,28,30,31,32,33,34,35,36
15,13,14,16,12,18,17,9,11,20,19,7,10,8,22,6,21,4,5,2,3,23,1,25,24,26,27,29,28,30,31,32,33,34,35,36
16,9,15,18,17,13,7,14,20,19,1,12,11,22,4,2,21,3,6,10,8,5,23,25,24,26,27,29,28,30,31,32,33,34,35,36
17,18,20,19,16,6,22,15,21,13,14,12,4,8,11,10,7,9,23,5,25,24,3,26,27,29,28,1,2,30,31,32,33,34,35,36
18,17,4,16,20,19,15,22,7,21,13,14,9,12,6,3,11,8,10,23,5,25,24,26,27,1,2,29,28,30,31,32,33,34,35,36
19,20,22,17,21,18,16,6,23,15,8,13,14,25,12,5,11,24,10,26,9,4,7,27,29,28,3,30,31,32,1,2,33,34,35,36
20,19,17,18,22,21,16,6,15,23,13,4,14,12,9,7,8,25,11,24,10,5,26,27,3,29,28,30,31,2,1,32,33,34,35,36
21,22,19,20,23,17,18,25,8,24,5,16,6,26,15,11,13,12,27,14,10,29,28,9,7,4,30,31,3,32,33,34,35,2,1,36
22,21,6,19,20,17,18,23,25,16,24,15,8,26,13,14,12,5,11,27,9,4,10,7,29,28,30,3,31,32,33,34,2,1,35,36
23,25,24,21,26,22,27,6,19,20,29,28,17,18,8,5,30,16,9,15,11,10,12,13,14,7,4,31,32,33,34,3,35,36,2,1
24,25,26,23,27,6,29,28,21,22,19,30,20,8,17,5,18,9,31,16,7,4,10,15,11,32,12,13,14,33,34,35,36,3,1,2
25,24,23,26,27,29,21,28,22,6,19,9,20,30,17,4,7,18,16,31,8,5,15,32,13,11,14,12,10,33,34,3,35,36,1,2
26,24,27,25,29,28,23,9,30,21,7,4,22,6,19,31,20,17,32,18,33,8,16,5,15,34,11,13,12,10,14,3,35,36,1,2
27,29,26,28,24,25,30,23,3,31,7,21,4,9,22,32,19,20,33,17,18,34,6,35,16,15,36,8,1,13,14,5,12,11,2,10
28,29,27,30,26,24,25,31,23,1,32,33,3,2,21,22,34,19,35,7,20,9,4,36,17,18,16,6,15,13,14,8,12,11,5,10
29,28,27,2,26,30,24,25,1,31,23,32,33,21,22,34,19,20,35,3,17,18,36,9,7,4,16,15,6,13,14,12,11,8,10,5
30,31,29,28,32,27,33,26,34,24,25,35,23,36,21,22,19,20,17,18,16,15,13,14,12,9,11,7,10,8,6,4,5,2,3,1
31,32,33,30,34,35,29,28,36,27,26,24,25,23,21,22,19,20,17,18,16,15,13,14,12,11,10,9,8,7,6,5,4,3,2,1
32,31,33,34,30,35,36,28,29,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,8,9,5,6,7,4,3,2,1
33,34,32,31,35,36,30,28,29,27,26,24,25,23,22,21,20,19,18,17,16,15,14,13,12,11,10,8,9,5,6,7,4,3,2,1
34,33,35,32,36,31,30,28,29,27,26,24,25,23,22,21,20,19,18,17,16,15,14,13,12,11,10,8,9,5,6,7,4,3,2,1
35,36,34,33,32,31,30,28,29,27,26,24,25,23,22,21,20,19,18,17,16,15,14,13,12,11,10,8,9,5,6,7,4,3,2,1
36,35,34,33,32,31,30,28,29,27,26,24,25,23,22,21,20,19,18,17,16,15,14,13,12,11,10,8,9,5,6,7,4,3,2,1
