"","IDlist","x","y"
"1",1246,-75.8999999999999,35.1
"2",1294,-76.2999999999999,34.9
"3",1340,-77.0999999999999,34.7
"4",1486,-77.8999999999999,34.1
"5",1532,-78.6999999999999,33.9
"6",1534,-78.2999999999999,33.9
"7",1536,-77.8999999999999,33.9
"8",1582,-78.6999999999999,33.7
"9",1586,-77.8999999999999,33.7
"10",1630,-79.0999999999999,33.5
"11",1680,-79.0999999999999,33.3
"12",1730,-79.0999999999999,33.1
"13",1777,-79.6999999999999,32.9
"14",1778,-79.4999999999999,32.9
"15",1826,-79.8999999999999,32.7
"16",1875,-80.0999999999999,32.5
"17",1923,-80.4999999999999,32.3
"18",1924,-80.2999999999999,32.3
"19",1972,-80.6999999999999,32.1
"20",1973,-80.4999999999999,32.1
"21",2021,-80.8999999999999,31.9
"22",2022,-80.6999999999999,31.9
"23",2120,-81.0999999999999,31.5
"24",2169,-81.2999999999999,31.3
"25",2170,-81.0999999999999,31.3
"26",2219,-81.2999999999999,31.1
"27",2269,-81.2999999999999,30.9
"28",2318,-81.4999999999999,30.7
"29",2319,-81.2999999999999,30.7
"30",2419,-81.2999999999999,30.3
"31",2519,-81.2999999999999,29.9
"32",2569,-81.2999999999999,29.7
"33",2620,-81.0999999999999,29.5
"34",2670,-81.0999999999999,29.3
"35",2721,-80.8999999999999,29.1
"36",2771,-80.8999999999999,28.9
