"","ID","layer"
"1",1,1924
"2",2,1875
"3",3,1876
"4",4,1586
"5",5,1586
"6",6,1536
"7",7,1486
"8",8,1344
"9",9,1295
"10",10,1198
"11",11,1342
"12",12,1393
"13",13,1730
"14",14,1730
"15",15,1779
"16",16,1778
"17",17,1777
"18",18,2771
"19",19,2771
"20",20,2671
"21",21,2620
"22",22,2269
"23",23,2269
"24",24,2219
"25",25,2169
"26",26,1586
"27",27,1586
"28",28,1340
"29",29,1534
"30",30,1533
"31",31,1582
"32",32,1582
"33",33,2022
"34",34,2021
"35",35,2419
"36",36,2318
"37",37,2318
"38",38,1923
"39",39,1923
"40",40,1630
"41",41,1680
"42",42,1680
"43",43,1680
"44",44,1680
"45",45,1680
"46",46,1680
"47",47,1730
"48",48,2170
"49",49,2120
"50",50,2120
"51",51,1777
"52",52,2120
"53",53,1582
"54",54,1582
"55",55,1533
"56",56,1534
"57",57,1586
"58",58,1586
"59",59,1586
"60",60,1586
"61",61,1246
"62",62,1295
"63",63,1344
"64",64,1393
"65",65,1342
"66",66,1340
"67",67,1486
"68",68,1536
"69",69,1630
"70",70,1680
"71",71,1680
"72",72,1680
"73",73,1680
"74",74,1680
"75",75,1680
"76",76,1730
"77",77,1730
"78",78,1730
"79",79,1779
"80",80,1778
"81",81,1777
"82",82,1777
"83",83,1876
"84",84,1924
"85",85,1924
"86",86,1923
"87",87,1923
"88",88,2219
"89",89,2269
"90",90,2269
"91",91,2319
"92",92,2318
"93",93,2419
"94",94,2771
"95",95,2771
"96",96,2671
"97",97,2620
"98",98,2170
"99",99,2170
"100",100,2120
"101",101,2120
"102",102,2120
"103",103,2021
"104",104,2022
"105",105,1586
"106",106,1586
"107",107,1536
"108",108,1486
"109",109,1246
"110",110,1295
"111",111,1294
"112",112,1393
"113",113,1342
"114",114,1340
"115",115,1586
"116",116,1534
"117",117,1778
"118",118,1779
"119",119,1730
"120",120,1730
"121",121,1534
"122",122,1533
"123",123,1582
"124",124,1582
"125",125,1730
"126",126,1680
"127",127,1680
"128",128,1680
"129",129,1680
"130",130,1680
"131",131,1680
"132",132,1680
"133",133,1777
"134",134,1777
"135",135,1876
"136",136,1875
"137",137,2419
"138",138,2771
"139",139,2771
"140",140,2671
"141",141,2570
"142",142,2318
"143",143,2319
"144",144,2269
"145",145,2269
"146",146,2219
"147",147,2169
"148",148,2170
"149",149,2120
"150",150,2120
"151",151,2120
"152",152,2021
"153",153,2022
"154",154,1923
"155",155,1923
"156",156,1924
"157",157,1924
"158",158,1777
"159",159,1777
"160",160,1778
"161",161,1778
"162",162,1779
"163",163,1779
"164",164,1586
"165",165,1534
"166",166,1534
"167",167,1534
"168",168,1533
"169",169,1532
"170",170,1582
"171",171,1582
"172",172,1581
"173",173,1630
"174",174,1680
"175",175,1680
"176",176,1680
"177",177,1680
"178",178,1680
"179",179,1680
"180",180,1680
"181",181,1730
"182",182,1730
"183",183,1730
"184",184,1730
"185",185,1586
"186",186,1586
"187",187,1586
"188",188,1536
"189",189,1536
"190",190,1486
"191",191,1246
"192",192,1246
"193",193,1295
"194",194,1294
"195",195,1393
"196",196,1342
"197",197,1340
"198",198,1389
"199",199,1924
"200",200,1923
"201",201,1923
"202",202,1973
"203",203,1972
"204",204,2022
"205",205,2021
"206",206,1875
"207",207,2170
"208",208,2169
"209",209,2169
"210",210,2219
"211",211,2670
"212",212,2671
"213",213,2721
"214",214,2771
"215",215,2772
"216",216,2771
"217",217,2620
"218",218,2569
"219",219,2519
"220",220,2419
"221",221,2318
"222",222,2319
"223",223,2318
"224",224,2269
"225",225,2269
"226",226,2269
"227",227,2120
"228",228,2120
"229",229,2120
"230",230,2120
"231",231,1924
"232",232,1875
"233",233,1876
"234",234,1826
"235",235,2169
"236",236,2169
"237",237,2170
"238",238,2120
"239",239,2120
"240",240,2120
"241",241,2120
"242",242,2021
"243",243,2022
"244",244,1972
"245",245,1973
"246",246,1923
"247",247,1923
"248",248,1924
"249",249,1924
"250",250,1875
"251",251,1875
"252",252,1876
"253",253,1826
"254",254,1777
"255",255,1777
"256",256,1778
"257",257,1778
"258",258,1779
"259",259,1779
"260",260,1730
"261",261,1730
"262",262,1730
"263",263,1730
"264",264,1680
"265",265,1680
"266",266,1680
"267",267,1680
"268",268,1680
"269",269,1680
"270",270,1680
"271",271,1630
"272",272,1631
"273",273,1582
"274",274,1582
"275",275,1532
"276",276,1533
"277",277,1534
"278",278,1534
"279",279,1534
"280",280,1586
"281",281,1586
"282",282,1586
"283",283,1586
"284",284,1536
"285",285,1486
"286",286,1486
"287",287,1246
"288",288,1246
"289",289,1295
"290",290,1294
"291",291,1393
"292",292,1342
"293",293,1340
"294",294,1388
"295",295,2219
"296",296,2269
"297",297,2269
"298",298,2269
"299",299,2319
"300",300,2318
"301",301,2318
"302",302,2419
"303",303,2772
"304",304,2771
"305",305,2771
"306",306,2721
"307",307,2671
"308",308,2670
"309",309,2620
"310",310,2569
"311",311,2519
"312",312,1586
"313",313,1586
"314",314,1586
"315",315,1536
"316",316,1486
"317",317,1777
"318",318,1777
"319",319,1778
"320",320,1778
"321",321,1779
"322",322,1487
"323",323,1388
"324",324,1246
"325",325,1246
"326",326,1295
"327",327,1344
"328",328,1342
"329",329,1779
"330",330,1730
"331",331,1730
"332",332,1730
"333",333,1730
"334",334,1680
"335",335,1680
"336",336,1680
"337",337,1586
"338",338,1535
"339",339,1534
"340",340,1534
"341",341,1826
"342",342,1876
"343",343,1875
"344",344,1875
"345",345,1874
"346",346,1923
"347",347,2219
"348",348,2269
"349",349,2269
"350",350,2269
"351",351,2318
"352",352,2318
"353",353,2318
"354",354,2771
"355",355,2721
"356",356,2671
"357",357,2670
"358",358,2620
"359",359,2569
"360",360,2519
"361",361,2419
"362",362,2169
"363",363,2169
"364",364,2170
"365",365,2120
"366",366,2120
"367",367,2120
"368",368,2120
"369",369,1533
"370",370,1532
"371",371,1582
"372",372,1582
"373",373,1581
"374",374,1630
"375",375,1680
"376",376,1680
"377",377,1680
"378",378,1680
"379",379,2021
"380",380,2022
"381",381,1972
"382",382,1973
"383",383,1923
"384",384,1586
"385",385,1534
"386",386,1534
"387",387,1534
"388",388,1533
"389",389,1532
"390",390,1582
"391",391,1582
"392",392,1581
"393",393,1630
"394",394,1680
"395",395,1680
"396",396,1680
"397",397,1680
"398",398,1680
"399",399,1680
"400",400,1680
"401",401,1730
"402",402,1730
"403",403,1730
"404",404,1826
"405",405,1876
"406",406,1875
"407",407,2022
"408",408,1972
"409",409,1973
"410",410,1923
"411",411,1923
"412",412,1924
"413",413,1874
"414",414,1924
"415",415,1875
"416",416,1777
"417",417,1777
"418",418,1778
"419",419,1778
"420",420,1779
"421",421,1779
"422",422,1730
"423",423,1586
"424",424,1586
"425",425,1586
"426",426,1536
"427",427,1486
"428",428,1487
"429",429,1388
"430",430,1246
"431",431,1246
"432",432,1295
"433",433,1294
"434",434,1342
"435",435,1340
"436",436,2120
"437",437,2120
"438",438,2120
"439",439,2120
"440",440,2170
"441",441,2169
"442",442,2169
"443",443,2219
"444",444,2269
"445",445,2269
"446",446,2269
"447",447,2319
"448",448,2318
"449",449,2318
"450",450,2670
"451",451,2670
"452",452,2721
"453",453,2771
"454",454,2771
"455",455,2772
"456",456,2620
"457",457,2569
"458",458,2519
"459",459,2419
"460",460,2021
"461",461,1586
"462",462,1586
"463",463,1586
"464",464,1536
"465",465,1486
"466",466,1487
"467",467,1388
"468",468,1246
"469",469,1246
"470",470,1295
"471",471,1294
"472",472,1342
"473",473,1340
"474",474,1586
"475",475,1778
"476",476,1777
"477",477,1826
"478",478,1826
"479",479,1875
"480",480,1875
"481",481,1874
"482",482,1874
"483",483,1923
"484",484,1923
"485",485,2219
"486",486,2269
"487",487,2269
"488",488,2269
"489",489,2319
"490",490,2318
"491",491,2318
"492",492,2419
"493",493,2772
"494",494,2771
"495",495,2771
"496",496,2721
"497",497,2671
"498",498,2670
"499",499,2620
"500",500,2569
"501",501,2519
"502",502,1777
"503",503,1778
"504",504,1779
"505",505,1779
"506",506,1973
"507",507,1972
"508",508,2022
"509",509,2021
"510",510,2120
"511",511,2120
"512",512,2120
"513",513,2169
"514",514,2170
"515",515,2170
"516",516,2120
"517",517,1680
"518",518,1680
"519",519,1680
"520",520,1680
"521",521,1680
"522",522,1730
"523",523,1730
"524",524,1730
"525",525,1730
"526",526,1535
"527",527,1534
"528",528,1534
"529",529,1533
"530",530,1532
"531",531,1582
"532",532,1582
"533",533,1581
"534",534,1630
"535",535,1680
"536",536,1680
"537",537,1826
"538",538,1876
"539",539,1875
"540",540,1875
"541",541,1874
"542",542,2219
"543",543,2269
"544",544,1777
"545",545,1777
"546",546,1778
"547",547,1778
"548",548,1779
"549",549,1680
"550",550,1680
"551",551,1680
"552",552,1680
"553",553,1730
"554",554,1730
"555",555,1730
"556",556,1730
"557",557,1779
"558",558,1586
"559",559,1586
"560",560,1586
"561",561,1536
"562",562,1486
"563",563,1487
"564",564,1246
"565",565,1246
"566",566,1295
"567",567,1294
"568",568,1342
"569",569,1393
"570",570,1340
"571",571,1680
"572",572,1680
"573",573,1680
"574",574,1630
"575",575,1581
"576",576,1586
"577",577,1535
"578",578,1534
"579",579,1534
"580",580,1533
"581",581,1532
"582",582,1582
"583",583,1582
"584",584,2022
"585",585,2021
"586",586,2120
"587",587,2120
"588",588,2120
"589",589,2120
"590",590,2170
"591",591,2772
"592",592,2771
"593",593,2771
"594",594,2721
"595",595,2671
"596",596,2670
"597",597,2620
"598",598,2569
"599",599,2519
"600",600,2419
"601",601,2319
"602",602,2318
"603",603,2318
"604",604,2269
"605",605,2269
"606",606,2169
"607",607,2170
"608",608,1972
"609",609,1973
"610",610,1923
"611",611,1923
"612",612,1924
"613",613,1777
"614",614,1777
"615",615,1586
"616",616,1534
"617",617,1534
"618",618,1534
"619",619,1533
"620",620,1532
"621",621,1582
"622",622,1582
"623",623,1581
"624",624,1630
"625",625,1680
"626",626,1778
"627",627,1778
"628",628,1779
"629",629,1779
"630",630,1730
"631",631,1730
"632",632,1730
"633",633,1730
"634",634,1680
"635",635,1680
"636",636,1680
"637",637,1680
"638",638,1680
"639",639,1680
"640",640,1826
"641",641,1876
"642",642,1875
"643",643,1875
"644",644,1924
"645",645,1924
"646",646,1923
"647",647,1923
"648",648,1973
"649",649,1972
"650",650,2022
"651",651,2021
"652",652,1586
"653",653,1586
"654",654,1586
"655",655,1536
"656",656,1486
"657",657,1487
"658",658,2219
"659",659,2269
"660",660,2269
"661",661,2269
"662",662,2319
"663",663,2318
"664",664,2318
"665",665,2772
"666",666,2771
"667",667,2771
"668",668,2721
"669",669,2671
"670",670,2670
"671",671,2620
"672",672,2569
"673",673,2519
"674",674,2419
"675",675,2169
"676",676,2169
"677",677,2170
"678",678,2120
"679",679,2120
"680",680,2120
"681",681,2120
"682",682,1246
"683",683,1246
"684",684,1295
"685",685,1393
"686",686,1342
"687",687,1340
"688",688,1388
"689",689,1586
"690",690,1586
"691",691,1586
"692",692,1536
"693",693,1536
"694",694,1487
"695",695,1388
"696",696,1246
"697",697,1246
"698",698,1295
"699",699,1342
"700",700,1340
"701",701,1340
"702",702,1777
"703",703,1777
"704",704,1778
"705",705,1778
"706",706,1779
"707",707,1586
"708",708,1535
"709",709,1534
"710",710,1534
"711",711,1533
"712",712,1532
"713",713,1582
"714",714,1582
"715",715,1581
"716",716,1630
"717",717,1680
"718",718,1680
"719",719,1680
"720",720,1680
"721",721,1680
"722",722,1680
"723",723,1680
"724",724,1730
"725",725,1730
"726",726,1730
"727",727,1730
"728",728,1729
"729",729,2120
"730",730,2120
"731",731,2120
"732",732,2120
"733",733,2170
"734",734,2169
"735",735,2169
"736",736,2219
"737",737,2269
"738",738,2269
"739",739,2269
"740",740,2772
"741",741,2771
"742",742,2771
"743",743,2721
"744",744,2671
"745",745,2670
"746",746,2620
"747",747,2569
"748",748,2519
"749",749,2419
"750",750,2318
"751",751,2318
"752",752,2319
"753",753,2021
"754",754,2022
"755",755,1972
"756",756,1973
"757",757,1923
"758",758,1923
"759",759,1924
"760",760,1924
"761",761,1874
"762",762,1875
"763",763,1875
"764",764,1876
"765",765,1826
"766",766,1777
"767",767,1777
"768",768,1778
"769",769,1778
"770",770,1779
"771",771,1779
"772",772,1730
"773",773,1487
"774",774,1388
"775",775,1340
"776",776,1246
"777",777,1246
"778",778,1295
"779",779,1294
"780",780,1393
"781",781,1342
"782",782,1486
"783",783,1536
"784",784,1586
"785",785,1586
"786",786,1586
"787",787,1730
"788",788,1730
"789",789,1730
"790",790,1680
"791",791,1680
"792",792,1680
"793",793,1680
"794",794,1680
"795",795,1680
