"EVENTNAME","S","biomass","date","lat","long","year","numtotal","location","region","tempS","tempB","salS","salB","PINK.SHRIMP","NORTHERN.BROWN.SHRIMP","WHITE.SHRIMP"
"1989001",22,49.628,"4/12/1989","32.395",-80.288,"1989",735,"KIAWAH ISLAND","SOUTH CAROLINA",14.4,14.4,34.1,33.8,0.564,0,0
"1989003",22,13.519,"4/12/1989","32.492",-80.178,"1989",273,"KIAWAH ISLAND","SOUTH CAROLINA",14.7,14.6,33,33,0.609,0.025,0.135
"1989015",20,78.026,"4/14/1989","32.597",-79.95,"1989",1720,"FOLLY BEACH","SOUTH CAROLINA",14.3,14.7,0,31.5,0.912,0,0.035
"1989017",23,140.45,"4/17/1989","33.713",-77.887,"1989",633,"BAY BEACH; KURE BEACH","ONSLOW BAY",15.7,15.7,34.6,34.7,0,0,0
"1989019",22,477.884,"4/17/1989","33.737",-77.897,"1989",872,"BAY BEACH; KURE BEACH","ONSLOW BAY",16,15.8,34,34.1,0.05,0,0
"1989021",23,240.941,"4/17/1989","33.91",-77.913,"1989",4148,"BAY BEACH; KURE BEACH","ONSLOW BAY",16.4,14.7,26.7,34.9,0.035,0,0
"1989023",30,973.962,"4/18/1989","34.048",-77.88,"1989",15448,"KURE BEACH; CAROLINA BEACH; WRIGHTSVILLE BEACH","ONSLOW BAY",15,13.9,21,34.9,0.25,0,0
"1989029",25,426.221,"4/19/1989","34.79",-76.343,"1989",2716,"CORE BANKS; PORTSMOUTH ISLAND","RALEIGH BAY",16.2,16.1,35.5,35.4,0.248,0,0
"1989031",21,57.533,"4/19/1989","34.985",-76.105,"1989",1221,"CORE BANKS; PORTSMOUTH ISLAND","RALEIGH BAY",16.7,16.7,35.2,35.1,0.196,0,0
"1989035",21,94.544,"4/19/1989","35.217",-75.583,"1989",1462,"OCRACOKE ISLAND; CAPE HATTERAS","RALEIGH BAY",14.5,16,32,34.4,0.131,0,0
"1989037",23,96.159,"4/20/1989","34.652",-76.618,"1989",2413,"BOGUE BANKS; SHACKLEFORD BANKS","ONSLOW BAY",15.1,14.5,34.1,34.8,1.049,0,0
"1989039",21,182.877,"4/20/1989","34.507",-76.498,"1989",1609,"BOGUE BANKS; SHACKLEFORD BANKS","ONSLOW BAY",15.5,15.5,34.5,34.4,0.017,0,0
"1989045",33,114.417,"4/26/1989","33.137",-79.15,"1989",2055,"SANDY PT.; CAPE ROMAIN; MURPHY; NORTH; SOUTH ISLANDS","SOUTH CAROLINA",19.9,17.9,16.2,34.2,0.355,0,0.025
"1989049",27,10.081,"4/27/1989","33.05",-79.1,"1989",589,"SANDY PT.; CAPE ROMAIN; MURPHY; NORTH; SOUTH ISLANDS","SOUTH CAROLINA",19.9,18.6,27.7,35.2,0,0,0
"1989051",24,25.626,"4/27/1989","32.983",-79.268,"1989",1702,"SANDY PT.; CAPE ROMAIN; MURPHY; NORTH; SOUTH ISLANDS","SOUTH CAROLINA",18.8,17.9,33,35.1,0,0,0
"1989053",20,58.405,"4/27/1989","32.912",-79.438,"1989",1617,"SULLIVANS ISLAND; ISLE OF PALMS; DEWEES; CAPERS; BULLS ISLANDS","SOUTH CAROLINA",18.6,17.9,34.3,34.7,0.051,0,0
"1989059",33,104.045,"4/28/1989","32.807",-79.673,"1989",1569,"SULLIVANS ISLAND; ISLE OF PALMS; DEWEES; CAPERS; BULLS ISLANDS","SOUTH CAROLINA",18.4,18.3,34,34.4,0.962,0,0
"1989063",29,45.715,"5/2/1989","28.922",-80.807,"1989",527,"ELDORA BEACH","FLORIDA",23.5,23.6,36.1,36.1,0,0.023,0
"1989065",31,135.123,"5/2/1989","28.947",-80.822,"1989",880,"NEW SMYRNA BEACH; PONCE DE LEON INLET","FLORIDA",23.3,23.5,36.2,36,0,0,0
"1989069",26,34.215,"5/3/1989","29.233",-80.997,"1989",539,"DAYTONA; ORMOND-BY-THE-SEA; FLAGLER BEACH","FLORIDA",22.4,22,35.8,35.8,0,0.057,0.02
"1989073",32,105.478,"5/4/1989","29.598",-81.17,"1989",1219,"PALM COAST; ST. AUGUSTINE","FLORIDA",22.5,22.5,35.7,35.7,0,0.014,0.28
"1989077",29,14.747,"5/4/1989","30.883",-81.312,"1989",1127,"CUMBERLAND; JEKYLL ISLANDS","GEORGIA",21.4,21.5,34.9,34.9,0.358,0,0.132
"1989079",24,24.924,"5/4/1989","30.917",-81.31,"1989",763,"CUMBERLAND; JEKYLL ISLANDS","GEORGIA",21.4,21.4,35,34.9,0.151,0,0.223
"1989081",21,9.307,"5/5/1989","31.042",-81.3,"1989",289,"CUMBERLAND; JEKYLL ISLANDS","GEORGIA",22,22,34,34.2,0.07,0,6.059
"1989085",14,3.902,"5/5/1989","31.308",-81.2,"1989",69,"ST. SIMONS SOUND TO SAPELO ISLAND","GEORGIA",21.7,21.6,31.2,33.5,0,0,0.087
"1989089",30,242.223,"5/15/1989","33.783",-77.967,"1989",4969,"LITTLE RIVER INLET TO CAPE FEAR","LONG BAY",19.5,19,34.1,34.3,0.362,0,0.04
"1989091",22,28.097,"5/16/1989","33.627",-77.87,"1989",786,"LITTLE RIVER INLET TO CAPE FEAR","LONG BAY",19.9,19.5,34,35,0.219,0,0
"1989099",34,59.305,"5/16/1989","34.612",-77.122,"1989",1461,"TOPSAIL BEACH; BEAR ISLANDMURPHY; NORTH; SOUTH ISLANDS","ONSLOW BAY",17.8,17.7,35.2,35.3,1.5,0.014,0
"1989107",43,616.176,"5/17/1989","33.888",-78.342,"1989",13818,"LITTLE RIVER INLET TO CAPE FEAR","LONG BAY",19.6,19.3,34.8,34.7,2.114,0,0.032
"1989113",36,161.649,"5/18/1989","33.818",-78.555,"1989",2898,"MYRTLE BEACH; CRESCENT BEACH; CHERRY PT.; WATIES ISLAND","LONG BAY",21.7,19.9,33.2,34.7,0.325,0,0
"1989115",33,368.007,"5/18/1989","33.788",-78.638,"1989",2925,"MYRTLE BEACH; CRESCENT BEACH; CHERRY PT.; WATIES ISLAND","LONG BAY",21.6,19.7,34.9,34.6,0.12,0,0
"1989117",39,147.992,"5/19/1989","33.783",-78.682,"1989",3055,"MYRTLE BEACH; CRESCENT BEACH; CHERRY PT.; WATIES ISLAND","LONG BAY",21.4,19.6,34.5,34.5,0.601,0,0
"1989125",36,38.72,"5/22/1989","31.97",-80.75,"1989",1080,"OSSABAW; WASSAW; TYBEE ISLANDS","GEORGIA",24,22.6,32.8,34.2,0.168,0,0
"1989129",28,19.654,"5/23/1989","31.852",-80.887,"1989",920,"OSSABAW; WASSAW; TYBEE ISLANDS","GEORGIA",23.7,22.9,33,33.7,1.495,0,1.026
"1989139",38,127.404,"5/24/1989","30.33",-81.382,"1989",1575,"USINA BEACH; JACKSONVILLE","FLORIDA",23.3,23.5,35.6,35.6,0,0.085,0.137
"1989149",31,109.027,"5/25/1989","30.752",-81.435,"1989",3268,"NORTH OF JACKSONVILLE; FERNANDINA; CUMBERLAND ISLAND","GEORGIA",24.5,24,35.4,35.4,0.145,0.107,2.99
"1989151",27,64.161,"5/25/1989","30.775",-81.4,"1989",1012,"NORTH OF JACKSONVILLE; FERNANDINA; CUMBERLAND ISLAND","GEORGIA",24.2,24.1,35.3,35.3,0.039,0.01,0.22
"1989155",30,29.634,"5/25/1989","32.237",-80.53,"1989",628,"EDISTO; KIAWAH ISLANDS","SOUTH CAROLINA",23.1,24.1,34.2,34.8,0.599,0,0
"1989157",28,29.862,"5/26/1989","32.277",-80.467,"1989",747,"EDISTO; KIAWAH ISLANDS","SOUTH CAROLINA",24.1,23.2,34.4,34.7,0.313,0.02,0
"1989161",21,97.735,"5/30/1989","33.443",-79.043,"1989",1699,"DEBIDUE IS.; MAGNOLIA BEACH; SURFSIDE BEACH","LONG BAY",23.4,22.8,34.8,34.8,0.072,0,0
"1989163",39,163.381,"5/30/1989","33.372",-79.12,"1989",2755,"DEBIDUE IS.; MAGNOLIA BEACH; SURFSIDE BEACH","LONG BAY",23.5,23,34.8,34.7,1.613,0,0.079
"1989165",42,157.899,"5/31/1989","33.353",-79.105,"1989",2798,"DEBIDUE IS.; MAGNOLIA BEACH; SURFSIDE BEACH","LONG BAY",23.9,22.8,34.1,34.9,0.32,0,0
"1989167",34,84.764,"5/31/1989","33.347",-79.12,"1989",2159,"DEBIDUE IS.; MAGNOLIA BEACH; SURFSIDE BEACH","LONG BAY",23.9,22.5,32.4,34.8,0.073,0,0.032
"1989177",32,44.664,"6/1/1989","33.325",-79.12,"1989",1743,"DEBIDUE IS.; MAGNOLIA BEACH; SURFSIDE BEACH","LONG BAY",22.7,22.5,34.5,34.9,0.23,0,0
"1989179",47,94.052,"6/1/1989","33.302",-79.122,"1989",2626,"DEBIDUE IS.; MAGNOLIA BEACH; SURFSIDE BEACH","LONG BAY",22.6,22.5,34.6,34.9,0.24,0,0
"1989181",38,218.774,"6/1/1989","33.22",-79.138,"1989",3569,"SANDY PT.; CAPE ROMAIN; MURPHY; NORTH; SOUTH ISLANDS","SOUTH CAROLINA",24.1,23.5,33.9,34.7,0.737,0.06,2.083
"1989183",43,191.156,"6/1/1989","33.2",-79.113,"1989",5384,"SANDY PT.; CAPE ROMAIN; MURPHY; NORTH; SOUTH ISLANDS","SOUTH CAROLINA",24.1,24,34,34.3,0.646,0.12,1.998
"1989197",26,48.226,"6/8/1989","31.378",-81.157,"1989",493,"ST. SIMONS SOUND TO SAPELO ISLAND","GEORGIA",26.5,26.9,35,35.1,0.046,0,0.025
"1989199",17,74.037,"6/8/1989","31.432",-81.107,"1989",686,"ST. CATHERINES ISLAND","GEORGIA",26.5,26.8,35,35,0,0,0
"1989201",22,36.913,"6/8/1989","31.583",-81.088,"1989",1124,"ST. CATHERINES ISLAND","GEORGIA",26.2,26.6,34.6,34.6,0.032,0,2.166
"1989203",36,81.16,"6/14/1989","32.84",-79.647,"1989",1577,"SULLIVANS ISLAND; ISLE OF PALMS; DEWEES; CAPERS; BULLS ISLANDS","SOUTH CAROLINA",27,26.9,34.2,34,0.567,0.034,2.215
"1989205",21,20.157,"6/15/1989","31.583",-81.065,"1989",206,"ST. CATHERINES ISLAND","GEORGIA",27.4,27.6,35,35,0,0.041,0
"1989213",31,28.402,"7/18/1989","33.785",-78.682,"1989",164,"MYRTLE BEACH; CRESCENT BEACH; CHERRY PT.; WATIES ISLAND","LONG BAY",28.3,28,35.3,35.3,0,0,0
"1989215",18,8.938,"7/18/1989","33.79",-78.642,"1989",204,"MYRTLE BEACH; CRESCENT BEACH; CHERRY PT.; WATIES ISLAND","LONG BAY",27.5,28,35.3,35.2,0,0,0
"1989217",21,36.53,"7/18/1989","33.82",-78.557,"1989",481,"MYRTLE BEACH; CRESCENT BEACH; CHERRY PT.; WATIES ISLAND","LONG BAY",27.8,28.1,35,35.3,0,0.02,0
"1989219",37,128.111,"7/18/1989","33.887",-78.342,"1989",2302,"LITTLE RIVER INLET TO CAPE FEAR","LONG BAY",28.5,28.7,35.4,35.3,0,5.84,0
"1989221",19,11.375,"7/18/1989","33.783",-77.965,"1989",244,"LITTLE RIVER INLET TO CAPE FEAR","LONG BAY",28.5,28.7,35.3,35.4,0,0.065,0
"1989223",16,6.448,"7/18/1989","33.625",-77.872,"1989",87,"LITTLE RIVER INLET TO CAPE FEAR","LONG BAY",27.9,25.5,35.9,36.6,0,0,0
"1989225",9,6.435,"7/18/1989","33.712",-77.885,"1989",50,"BAY BEACH; KURE BEACH","ONSLOW BAY",28.6,27.7,35.3,35.8,0,0,0
"1989227",9,8.684,"7/18/1989","33.735",-77.897,"1989",40,"BAY BEACH; KURE BEACH","ONSLOW BAY",28.5,27.7,35,35.6,0,0,0
"1989229",28,66.368,"7/19/1989","35.093",-75.933,"1989",1175,"OCRACOKE ISLAND; CAPE HATTERAS","RALEIGH BAY",25.3,24.1,31.3,35.9,5.8,3.175,0
"1989231",27,101.209,"7/19/1989","34.983",-76.108,"1989",2162,"CORE BANKS; PORTSMOUTH ISLAND","RALEIGH BAY",25.5,22,32.5,36.3,2.558,20.4,0
"1989233",19,5.858,"7/19/1989","34.792",-76.343,"1989",148,"CORE BANKS; PORTSMOUTH ISLAND","RALEIGH BAY",26.5,24.2,35.1,36.1,0.124,0.614,0
"1989235",5,0.499,"7/19/1989","34.508",-76.495,"1989",33,"BOGUE BANKS; SHACKLEFORD BANKS","ONSLOW BAY",27.1,26.6,36.1,36.2,0,0,0
"1989237",29,63.352,"7/19/1989","34.653",-76.617,"1989",1189,"BOGUE BANKS; SHACKLEFORD BANKS","ONSLOW BAY",27.9,28.1,35.9,35.8,0.104,0.61,0
"1989239",34,43.918,"7/20/1989","34.608",-77.122,"1989",763,"TOPSAIL BEACH; BEAR ISLANDMURPHY; NORTH; SOUTH ISLANDS","ONSLOW BAY",26.3,25.8,35.8,36.2,0.125,6.4,0
"1989241",32,140.407,"7/20/1989","34.048",-77.88,"1989",2539,"KURE BEACH; CAROLINA BEACH; WRIGHTSVILLE BEACH","ONSLOW BAY",26.3,25.4,36,36.3,0,0.581,0
"1989243",31,77.851,"7/20/1989","33.913",-77.908,"1989",921,"BAY BEACH; KURE BEACH","ONSLOW BAY",25.7,25.4,36.4,36.2,0,0.638,0
"1989245",31,55.263,"7/21/1989","33.438",-79.048,"1989",717,"DEBIDUE IS.; MAGNOLIA BEACH; SURFSIDE BEACH","LONG BAY",26.4,26,35.5,35.7,0,0,0
"1989247",36,81.737,"7/21/1989","33.38",-79.112,"1989",1045,"DEBIDUE IS.; MAGNOLIA BEACH; SURFSIDE BEACH","LONG BAY",26,26,35.5,36,0,0,0
"1989249",25,89.165,"7/21/1989","33.353",-79.108,"1989",113,"DEBIDUE IS.; MAGNOLIA BEACH; SURFSIDE BEACH","LONG BAY",26.2,26.5,35.8,35.5,0,0,0
"1989251",16,18.393,"7/21/1989","33.347",-79.117,"1989",96,"DEBIDUE IS.; MAGNOLIA BEACH; SURFSIDE BEACH","LONG BAY",25.8,25.7,35.6,35.7,0,0,0
"1989253",19,10.552,"7/21/1989","33.322",-79.12,"1989",126,"DEBIDUE IS.; MAGNOLIA BEACH; SURFSIDE BEACH","LONG BAY",26,25.2,35.6,35.7,0,0.006,0
"1989255",32,12.136,"7/21/1989","33.303",-79.122,"1989",162,"DEBIDUE IS.; MAGNOLIA BEACH; SURFSIDE BEACH","LONG BAY",26.2,25.1,35.3,36.2,0,0.011,0.03
"1989257",27,49.332,"7/21/1989","33.222",-79.132,"1989",1652,"SANDY PT.; CAPE ROMAIN; MURPHY; NORTH; SOUTH ISLANDS","SOUTH CAROLINA",27.1,25.8,34.3,36,0,3.391,0.738
"1989259",28,58.517,"7/21/1989","33.198",-79.117,"1989",2029,"SANDY PT.; CAPE ROMAIN; MURPHY; NORTH; SOUTH ISLANDS","SOUTH CAROLINA",27.3,25.5,32.5,35.7,0,8,0.99
"1989261",11,4.146,"7/21/1989","33.138",-79.148,"1989",52,"SANDY PT.; CAPE ROMAIN; MURPHY; NORTH; SOUTH ISLANDS","SOUTH CAROLINA",29.6,26.9,27.6,35.6,0,0.019,0
