"unique_ID","boot","S","sPIE","s_N","Nind","biomass","shrimp_bio","flounder_bio","tempS","tempB","salS","salB"
"1924 _ a","1",45,2.41831254044912,23.9029263810965,15707,1050.398,13.398,0.653,21.62,21.56,33.58,33.96
"1875 _ a","1",49,1.21815008012019,18.4788688239459,38969,2409.21,13.94,0.923,22.66,23.04,33.2,33.46
"1586 _ a","1",39,5.83073790129372,39.4804061893493,826,138.841,0.065,0.2,25.86,25.58,34.62,35.32
"1536 _ a","1",51,4.71509395315997,28.189709607857,8244,622.694,0.648,0.534,23.52,21.68,34.02,35.56
"1486 _ a","1",68,2.94711505925677,29.6529060969661,33221,2394.793,22.474,3.396,22.74,21.92,31.16,35.34
"1730 _ a","1",51,6.23840167357202,31.3620893611585,5252,229.023,9.167,1.202,23.12,23.16,32.32,34.48
"1778 _ a","1",60,6.17790302216041,40.6688923766966,6129,377.358,17.52,2.468,21.98,21.24,33.04,34.16
"1777 _ a","1",47,8.00524645864042,35.6022579590854,3669,233.454,1.39,0.908,23.56,23.24,33.54,34.06
"2771 _ a","1",61,7.38282086027047,32.5737298133419,12934,1132.886,1.064,0.514,23.28,23.18,35.26,35.54
"2620 _ a","1",58,5.29599999233809,28.3021345480248,11991,805.307,3.124,0.21,25.44,25.38,35.98,36.02
"2269 _ a","1",51,7.42501464830125,38.4097385098677,2826,167.713,9.499,1.278,23.46,23.8,34.2,34.22
"2219 _ a","1",54,11.1139994451788,46.879792670891,2022,119.034,11.519,0,23.52,23.94,33.36,33.7
"2169 _ a","1",54,11.1428422046709,43.605193365069,2612,85.363,12.364,0.848,23.26,23.04,32.56,34.22
"1340 _ a","1",65,8.26836484313151,44.1411862753608,9457,475.118,11.411,6.17,23.26,22.96,35.04,35.18
"1534 _ a","1",55,1.72251882557309,26.3933371761106,25147,1221.173,18.445,0.223,20.44,19.82,33.54,34.18
"1582 _ a","1",65,8.45380238502826,41.6517172880599,4521,372.464,2.039,0.235,22.86,22.04,34.84,35.18
"2022 _ a","1",50,6.34647514625088,43.3754403886685,2069,154.724,0.168,1.08,23.92,22.82,31.56,33.34
"2021 _ a","1",55,5.75700932036892,32.6316202367002,12344,738.381,20.97,0.775,23.12,23,32.98,34.1
"2419 _ a","1",68,9.65516705610426,38.5050964356378,13745,958.697,13.361,0.495,22.98,22.84,33.9,34.76
"2318 _ a","1",47,7.83948716906887,33.2194073044502,4480,177.085,13.549,1.582,21.4,21.3,34.36,34.46
"1923 _ a","1",45,4.62334628630594,38.5574805922295,1712,100.419,6.371,2.328,21.96,21.12,32.48,33.28
"1630 _ a","1",62,4.43117847846991,39.9182026916959,5934,613.024,0.1,1.246,23.14,22.58,35.2,35.26
"1680 _ a","1",58,5.55870219082211,41.0390314118238,4943,265.901,5.515,1.75,23.54,22.96,32,35.08
"2170 _ a","1",52,9.46578775815037,44.412000416361,1730,144.994,6.246,0.946,23.16,23.26,33.14,34.82
"2120 _ a","1",50,6.32045020404619,39.4927780535282,2644,246.868,9.75,1.789,26.28,26.52,33.98,34.24
"1246 _ a","1",60,7.17784719525108,42.9686027201202,5325,837.878,2.41,7.924,23.84,23.88,33.42,35.4
"2319 _ a","1",49,8.0771063981388,38.1604424340189,2447,197.398,1.38,0.18,26.26,26.24,34.12,34.26
"1294 _ a","1",68,9.39599804063801,39.8067224298905,10962,718.512,2.604,6.116,23.94,23.94,34.78,35.08
"1532 _ a","1",58,3.33903538960879,34.82059228217,8151,543.747,1.886,0.849,22.6,22.22,34.42,34.72
"1973 _ a","1",53,4.98314734077304,46.4663892616656,1498,59.295,0.694,2.965,22.5,22.34,33.04,33.62
"1972 _ a","1",51,4.24263200553608,37.9975798469025,4478,360.977,6.122,8.171,21.74,21.32,30.1,32.78
"2670 _ a","1",43,3.78983741229918,19.7789296042065,18060,859.312,0.153,0,26.72,26.54,36.32,36.34
"2721 _ a","1",57,2.92500543507006,26.3591800666302,16509,613.03,1.456,1.791,25.88,25.58,35.92,35.9
"2569 _ a","1",59,4.45196117675372,27.1796174524177,17449,1032.205,1.211,0.445,26.28,26.34,36.1,36.14
"2519 _ a","1",62,6.5116828917195,33.7661983072767,13643,866.19,8.763,1.865,24.58,24.42,35.48,35.5
"1826 _ a","1",50,4.90185661971252,37.2030939695053,4029,145.168,15.986,1.89,25.5,25.74,33.22,33.96
"1777 _ b","1",48,8.457630223362,34.4538295640638,4362,538.273,18.09,0.958,20.322,19.562,32.6154,32.9882
"1586 _ b","1",51,8.84547846479437,53.1394525514834,787,105.118,0.327,1.187,22.688,22.692,35.2176,35.2306
"1534 _ b","1",52,4.60460473739872,29.2655535471831,16484,1208.417,3.979,1.114,22.884,22.382,34.952,34.9918
"1532 _ b","1",45,4.58552999130502,29.5615182532046,6785,478.063,0.123,0.888,24.026,22.638,33.9466,34.2976
"1582 _ b","1",57,6.13586103186713,42.6050792566487,2581,800.358,0.136,1.181,22.09,20.238,33.4844,34.171
"1630 _ b","1",52,4.37160281019386,32.1581835723919,6960,564.114,0.032,1.49,22.068,20.574,34.4314,34.7204
"1680 _ b","1",68,9.32944766025064,46.9783072003631,3344,770.233,5.979,2.447,20.558,20.466,34.7118,34.992
"1778 _ b","1",57,7.66685875526588,50.762878169003,1522,79.537,3,1.12,21.976,21.444,34.7202,34.852
"1730 _ b","1",43,4.27340727561797,41.2641537285096,1063,51.768,0.013,0.844,22.724,22.266,34.6222,35.1604
"1826 _ b","1",47,9.20555263264397,39.2866137306921,1785,278.077,7.483,0.773,22.852,22.328,33.1208,34.1668
"1875 _ b","1",56,5.25485420439469,45.1950372939148,2084,355.981,1.144,4.342,24.938,24.626,33.9136,34.149
"1924 _ b","1",41,7.23369030256493,33.0068645028766,2370,130.88,0.976,1.621,23.28,23.424,33.9782,34.2988
"1923 _ b","1",49,4.872983060329,38.3910445711624,2587,138.63,2.098,3.107,24.5,24.216,33.532,33.9278
"1973 _ b","1",43,6.15344225041748,44.5701854718123,846,96.518,0.244,0.888,22.786,22.566,33.7668,33.9506
"1972 _ b","1",49,8.49561745033443,49.3138302440835,923,111.658,3.033,1.035,23.316,22.83,31.1358,32.8762
"2022 _ b","1",55,4.48706182714332,39.3514054316491,3600,372.539,0.045,0.18,24.542,24.02,32.3062,33.7278
"2021 _ b","1",52,8.95454909206044,38.9029857398181,3209,155.53,17.075,1.432,20.698,19.832,30.5952,31.9422
"1536 _ b","1",51,4.93468657419848,30.2887920932788,5960,435.144,0.201,7.044,23.752,23.11,35.3154,35.6412
"1486 _ b","1",51,5.57417637411456,28.5068433680673,6901,497.49,0.338,4.444,22.316,21.594,34.3342,34.9658
"2219 _ b","1",52,6.53363035187367,41.3460356981672,2801,111.22,11.706,1.996,22.912,22.696,30.467,32.3656
"2269 _ b","1",40,13.35836400818,42.5918693534817,572,476.465,12.253,1.137,25.022,24.628,31.5096,33.3466
"2319 _ b","1",41,5.4576354779258,33.0972722361453,3370,150.185,3.24,0,24.894,23.978,32.5864,33.5718
"2318 _ b","1",47,5.23685729218419,29.466150883014,8205,321.092,13.981,0.293,26.106,25.216,34.6392,34.753
"2771 _ b","1",55,8.50642497400239,45.566302363979,2043,179.408,0.066,0.394,24.986,24.042,35.602,35.5342
"2721 _ b","1",51,4.58969588801658,37.6473179165507,3156,363.367,0.211,0.364,25.642,25.064,35.2812,35.4446
"2670 _ b","1",55,3.72320224681838,36.6275892420109,3965,672.019,0.393,0.392,24.122,22.9,34.7518,34.941
"2620 _ b","1",62,4.70489456245326,37.0026662356761,12347,552.112,8.168,1.698,25.502,25.124,34.6018,35.4236
"2569 _ b","1",56,5.26649164464919,35.8387497398838,5605,271.263,1.352,0.903,25.086,24.066,34.3682,34.3696
"2519 _ b","1",57,10.9634639160586,37.0437642986754,9020,496.629,18.649,0.543,24.812,24.108,33.6574,34.0996
"2419 _ b","1",57,5.72322661517733,36.7546793676725,5158,400.665,7.785,0.33,24.244,23.686,33.3794,34.007
