"x"
"DASYATIS AMERICANA"
"RHINOPTERA BONASUS"
"OPISTHONEMA OGLINUM"
"ANCHOA MITCHILLI"
"PRIONOTUS SCITULUS"
"POMATOMUS SALTATRIX"
"LEIOSTOMUS XANTHURUS"
"MENTICIRRHUS AMERICANUS"
"SCOMBEROMORUS MACULATUS"
"CITHARICHTHYS MACROPS"
"ETROPUS CROSSOTUS"
"SYMPHURUS PLAGIUSA"
"TRINECTES MACULATUS"
"RAJA EGLANTERIA"
"ANCHOA HEPSETUS"
"UROPHYCIS REGIA"
"CYNOSCION NOTHUS"
"STELLIFER LANCEOLATUS"
"HYPSOBLENNIUS HENTZ"
"PEPRILUS TRIACANTHUS"
"SCOPHTHALMUS AQUOSUS"
"ANCYLOPSETTA QUADROCELLATA"
"BREVOORTIA TYRANNUS"
"CYNOSCION REGALIS"
"MENTICIRRHUS LITTORALIS"
"LARIMUS FASCIATUS"
"PARALICHTHYS DENTATUS"
"SPHOEROIDES MACULATUS"
"PRIONOTUS RUBIO"
"CHILOMYCTERUS SCHOEPFII"
"ANCHOA LYOLEPIS"
"PORICHTHYS PLECTRODON"
"DACTYLOPTERUS VOLITANS"
"DASYATIS CENTROURA"
"SYNODUS FOETENS"
"DIPLECTRUM FORMOSUM"
"MUSTELUS CANIS"
"OPHIDION GRAYI"
"SCORPAENA CALCARATA"
"PRIONOTUS TRIBULUS"
"SARDINELLA AURITA"
"TRACHINOCEPHALUS MYOPS"
"SYMPHURUS UROSPILUS"
"ALUTERUS SCHOEPFII"
"OTOPHIDIUM OMOSTIGMA"
"BOTHUS ROBINSI"
"SYACIUM PAPILLOSUM"
"STEPHANOLEPIS HISPIDA"
"AETOBATUS NARINARI"
"CONGER OCEANICUS"
"UROPHYCIS EARLLII"
"HIPPOCAMPUS ERECTUS"
"CENTROPRISTIS STRIATA"
"CENTROPRISTIS OCYURUS"
"DECAPTERUS PUNCTATUS"
"OPISTOGNATHIDAE"
"GOBIOSOMA GINSBURGI"
"CITHARICHTHYS SPILOPTERUS"
"PARALICHTHYS ALBIGUTTA"
"BALISTES CAPRISCUS"
"OPHIDION MARGINATUM"
"UROPHYCIS FLORIDANA"
"LAGODON RHOMBOIDES"
"BAIRDIELLA CHRYSOURA"
"ASTROSCOPUS Y-GRAECUM"
"TRICHIURUS LEPTURUS"
"PEPRILUS PARU"
"PRIONOTUS CAROLINUS"
"ORTHOPRISTIS CHRYSOPTERA"
"MICROPOGONIAS UNDULATUS"
"MENTICIRRHUS SAXATILIS"
"HISTRIO HISTRIO"
"CARCHARHINUS LEUCAS"
"SQUATINA DUMERIL"
"CHAETODIPTERUS FABER"
"SYNGNATHUS LOUISIANAE"
"PRIONOTUS EVOLANS"
"ASTROSCOPUS GUTTATUS"
"ARCHOSARGUS PROBATOCEPHALUS"
"OPHICHTHUS OCELLATUS"
"MYLIOBATIS FREMINVILLEI"
"EUCINOSTOMUS"
"UPENEUS PARVUS"
"GOBIOSOMA BOSC"
"SERIOLA ZONATA"
"SERRANUS SUBLIGARIUS"
"RHIZOPRIONODON TERRAENOVAE"
"DASYATIS SAY"
"SPHYRNA TIBURO"
"CHLOROSCOMBRUS CHRYSURUS"
"CALAMUS LEUCOSTEUS"
"SPHYRAENA GUACHANCHO"
"CALLINECTES ORNATUS"
"BAGRE MARINUS"
"RHINOBATOS LENTIGINOSUS"
"CARANX CRYSOS"
"SCOMBEROMORUS CAVALLA"
"ETRUMEUS TERES"
"PARALICHTHYS SQUAMILENTUS"
"HAEMULON AUROLINEATUM"
"TRACHURUS LATHAMI"
"GYMNACHIRUS MELAS"
"SARDA SARDA"
"DIPLODUS HOLBROOKII"
"EQUETUS UMBROSUS"
"RHOMBOPLITES AURORUBENS"
"DASYATIS SABINA"
"OPSANUS TAU"
"ETROPUS CYCLOSQUAMUS"
"HYPLEUROCHILUS GEMINATUS"
"STRONGYLURA MARINA"
"EQUETUS LANCEOLATUS"
"RYPTICUS MACULATUS"
"OPSANUS PARDUS"
"RACHYCENTRON CANADUM"
"SELENE SETAPINNIS"
"HETEROPRIACANTHUS CRUENTATUS"
"PRIONOTUS OPHRYAS"
"ECHENEIS NAUCRATES"
"SCOMBER JAPONICUS"
"SPHYRNA LEWINI"
"SCORPAENA BRASILIENSIS"
"PRIONOTUS ROSEUS"
"MYCTEROPERCA MICROLEPIS"
"HAEMULON PLUMIERI"
"SPHOEROIDES NEPHELUS"
"CARANX BARTHOLOMAEI"
"TRACHINOTUS CAROLINUS"
"ALECTIS CILIARIS"
"SELENE VOMER"
"SELAR CRUMENOPHTHALMUS"
"LAGOCEPHALUS LAEVIGATUS"
"LUTJANUS SYNAGRIS"
"CARCHARHINUS ACRONOTUS"
"UMBRINA COROIDES"
"HALICHOERES BIVITTATUS"
"LUTJANUS CAMPECHANUS"
"CENTROPRISTIS PHILADELPHICA"
"CARCHARIAS TAURUS"
"GYMNURA ALTAVELA"
"CARANX HIPPOS"
"SYNGNATHUS SPRINGERI"
"HALICHOERES CAUDALIS"
"XIPHOPENAEUS KROYERI"
"SCIAENOPS OCELLATUS"
"TAUTOGA ONITIS"
"POGONIAS CROMIS"
"NARCINE BRASILIENSIS"
"HARENGULA JAGUANA"
"OGCOCEPHALUS PARVUS"
"BREVOORTIA SMITHI"
"CARCHARHINUS PLUMBEUS"
"SYNGNATHUS FUSCUS"
"ALOPIAS VULPINUS"
"ALOSA AESTIVALIS"
"DOROSOMA PETENENSE"
"OLIGOPLITES SAURUS"
"PARABLENNIUS MARMOREUS"
"CARCHARHINUS OBSCURUS"
"CARCHARHINUS LIMBATUS"
"OGCOCEPHALUS ROSTELLUM"
"OPHICHTHUS GOMESII"
"ANTENNARIUS OCELLATUS"
"ELOPS SAURUS"
"MOBULA HYPOSTOMA"
"CARCHARHINUS ISODON"
"MUGIL CUREMA"
"MYROPHIS PUNCTATUS"
"GOBIESOX STRUMOSUS"
"SQUALUS ACANTHIAS"
"LOBOTES SURINAMENSIS"
"CYNOSCION NEBULOSUS"
"CARANX RUBER"
"SPEOCARCINUS CAROLINENSIS"
"GINGLYMOSTOMA CIRRATUM"
"MUGIL CEPHALUS"
"ACIPENSER OXYRINCHUS"
"PRIACANTHUS ARENATUS"
"SCOMBER SCOMBRUS"
"SCOMBEROMORUS REGALIS"
"CARCHARHINUS BREVIPINNA"
"ALUTERUS MONOCEROS"
"MEGALOPS ATLANTICUS"
"LOPHIUS AMERICANUS"
"PSENES PELLUCIDUS"
"ALOSA SAPIDISSIMA"
"OPHIDION JOSEPHI"
"ANTENNARIUS RADIOSUS"
"GOBIOSOMA ROBUSTUM"
"ACHIRUS LINEATUS"
"MENIDIA BERYLLINA"
"ABLENNES HIANS"
"LABRISOMUS NUCHIPINNIS"
"SYNGNATHUS FLORIDAE"
"TORPEDO NOBILIANA"
"OGCOCEPHALUS VESPERTILIO"
"ETROPUS MICROSTOMUS"
"LEUCORAJA OCELLATA"
"DIODON HYSTRIX"
"MOLA MOLA"
"EPINEPHELUS ITAJARA"
"ANCHOA"
"DOROSOMA CEPEDIANUM"
